date,open,close,high,low,volume,amount,return,is_extreme,code,name,industry
2020-01-02,4.21242928,4.24800723,4.29070077,4.20531369,234949397.0,1404442753.0,,False,601398,工商银行,银行
2020-01-03,4.24800723,4.26223841,4.28358518,4.24089164,152213047.0,911951562.0,0.00334448472284735,False,601398,工商银行,银行
2020-01-06,4.24089164,4.24800723,4.30493195,4.23377605,226509705.0,1359917424.0,-0.00334448472284736,False,601398,工商银行,银行
2020-01-07,4.25512282,4.27646959,4.29781636,4.25512282,116804353.0,701615827.0,0.006677821142605448,False,601398,工商银行,银行
2020-01-08,4.24089164,4.20531369,4.24800723,4.1981981,158559090.0,940552725.0,-0.016778917129109366,False,601398,工商银行,银行
2020-01-09,4.23377605,4.20531369,4.24089164,4.18396692,137713429.0,813806686.0,0.0,False,601398,工商银行,银行
2020-01-10,4.20531369,4.20531369,4.21954487,4.16973574,97837773.0,576580178.0,0.0,False,601398,工商银行,银行
2020-01-13,4.1981981,4.21954487,4.21954487,4.17685133,108991003.0,642791834.0,0.003378381591627412,False,601398,工商银行,银行
2020-01-14,4.21242928,4.22666046,4.24089164,4.20531369,136770059.0,812389848.0,0.0016849203649194455,False,601398,工商银行,银行
2020-01-15,4.21954487,4.18396692,4.22666046,4.17685133,128890756.0,759512875.0,-0.010152371464018073,False,601398,工商银行,银行
2020-01-16,4.17685133,4.1270422,4.19108251,4.11992661,269031344.0,1572007903.0,-0.013698844358161802,False,601398,工商银行,银行
2020-01-17,4.13415779,4.14127338,4.15550456,4.1270422,103949027.0,605076653.0,0.0034423441909729197,False,601398,工商银行,银行
2020-01-20,4.13415779,4.15550456,4.16973574,4.1270422,103339962.0,602786615.0,0.003430535096789001,False,601398,工商银行,银行
2020-01-21,4.14127338,4.10569543,4.14838897,4.09857984,143223669.0,828268482.0,-0.012058716320127488,False,601398,工商银行,银行
2020-01-22,4.09857984,4.11992661,4.11992661,4.06300189,128370788.0,738870049.0,0.0034602110648958738,False,601398,工商银行,银行
2020-01-23,4.09857984,4.07011748,4.11281102,4.0558863,200037655.0,1146238550.0,-0.01216348619319735,False,601398,工商银行,银行
2020-02-03,3.7712627,3.85664978,3.97049922,3.7712627,468039904.0,2524272183.0,-0.05387298994015175,False,601398,工商银行,银行
2020-02-04,3.83530301,3.9135745,3.93492127,3.81395624,401385264.0,2178867252.0,0.014652276786870415,False,601398,工商银行,银行
2020-02-05,3.90645891,3.90645891,3.92780568,3.85664978,250853805.0,1374458723.0,-0.0018198367169859828,False,601398,工商银行,银行
2020-02-06,3.9135745,3.9135745,3.93492127,3.87088096,280995424.0,1538957671.0,0.0018198367169861209,False,601398,工商银行,银行
2020-02-07,3.89222773,3.87088096,3.89222773,3.8424186,237318996.0,1288428158.0,-0.010969031370574046,False,601398,工商银行,银行
2020-02-10,3.84953419,3.85664978,3.86376537,3.82818742,190238633.0,1027646561.0,-0.003683245416296405,False,601398,工商银行,银行
2020-02-11,3.86376537,3.88511214,3.89222773,3.84953419,198498450.0,1081002724.0,0.007352974305258733,False,601398,工商银行,银行
2020-02-12,3.88511214,3.88511214,3.89222773,3.85664978,203914433.0,1109148701.0,0.0,False,601398,工商银行,银行
2020-02-13,3.87799655,3.84953419,3.87799655,3.8424186,199565762.0,1082005691.0,-0.009199696898423487,False,601398,工商银行,银行
2020-02-14,3.8424186,3.86376537,3.87088096,3.83530301,141576448.0,767126663.0,0.003690041087453963,False,601398,工商银行,银行
2020-02-17,3.85664978,3.90645891,3.90645891,3.84953419,214194906.0,1169117310.0,0.010989121575595165,False,601398,工商银行,银行
2020-02-18,3.89222773,3.88511214,3.89934332,3.87088096,184542440.0,1007061194.0,-0.005479465764625596,False,601398,工商银行,银行
2020-02-19,3.87799655,3.89934332,3.9135745,3.87799655,204052382.0,1115986859.0,0.003656311203110479,False,601398,工商银行,银行
2020-02-20,3.89934332,3.92069009,3.92780568,3.87088096,283668096.0,1552477582.0,0.005459522204898974,False,601398,工商银行,银行
2020-02-21,3.90645891,3.90645891,3.92780568,3.89222773,223710293.0,1228187059.0,-0.0036363676433838745,False,601398,工商银行,银行
2020-02-24,3.89934332,3.87088096,3.90645891,3.86376537,193329190.0,1053685893.0,-0.009149194653587977,False,601398,工商银行,银行
2020-02-25,3.8424186,3.84953419,3.85664978,3.83530301,230133275.0,1243466243.0,-0.005529968009461086,False,601398,工商银行,银行
2020-02-26,3.82818742,3.84953419,3.87088096,3.81395624,257968813.0,1393315557.0,0.0,False,601398,工商银行,银行
2020-02-27,3.8424186,3.8424186,3.85664978,3.83530301,222555623.0,1202215361.0,-0.0018501392881614773,False,601398,工商银行,银行
2020-02-28,3.82107183,3.7712627,3.82818742,3.75703152,422937152.0,2256218764.0,-0.01869213301215252,False,601398,工商银行,银行
2020-03-02,3.7712627,3.81395624,3.81395624,3.76414711,239902317.0,1279829481.0,0.011257154524634468,False,601398,工商银行,银行
2020-03-03,3.82107183,3.82818742,3.8424186,3.80684065,255403193.0,1374004536.0,0.003724399090982494,False,601398,工商银行,银行
